epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
115,0.37401575,3.669870377,478,30,330,0.61645746,0.7,0.35355648,169,21,0.899543405,3.54709506,209,10,16,0.464114845,0.200000003,0.933014333,195,2
116,0.39763778,3.679006338,478,30,326,0.62998605,0.8333333,0.37029287,177,25,0.899543405,3.528998137,209,10,16,0.477033496,0.200000003,0.933014333,195,2
117,0.38582677,3.65427947,478,30,326,0.64769876,0.73333335,0.36401674,174,22,0.899543405,3.51104641,209,10,16,0.484210521,0.200000003,0.933014333,195,2
118,0.37598425,3.617266655,478,30,335,0.6859135,0.8,0.3493724,167,24,0.899543405,3.493202209,209,10,16,0.492344499,0.200000003,0.933014333,195,2
119,0.41732284,3.629109383,478,30,312,0.6430962,0.76666665,0.39539748,189,23,0.894977152,3.475517035,209,10,17,0.495215297,0.200000003,0.92822969,194,2
120,0.35826772,3.617526054,478,30,338,0.5714086,0.7,0.3368201,161,21,0.89041096,3.457941294,209,10,18,0.497129172,0.200000003,0.923444986,193,2
121,0.4055118,3.614113092,478,30,308,0.55725247,0.6,0.39330545,188,18,0.89041096,3.440515995,209,10,18,0.503827751,0.200000003,0.923444986,193,2
122,0.3996063,3.559692383,478,30,327,0.68277544,0.8666667,0.37029287,177,26,0.89041096,3.423187017,209,10,18,0.516267955,0.200000003,0.923444986,193,2
123,0.40748033,3.573406696,478,30,317,0.58525103,0.76666665,0.38493723,184,23,0.881278515,3.406008244,209,10,20,0.527751207,0.200000003,0.91387558,191,2
124,0.41338584,3.547909737,478,30,316,0.6601813,0.8,0.38912135,186,24,0.881278515,3.38892293,209,10,20,0.533492804,0.200000003,0.91387558,191,2
125,0.41732284,3.51223588,478,30,306,0.58096236,0.6666667,0.40167364,192,20,0.881278515,3.371950626,209,10,20,0.535406709,0.200000003,0.91387558,191,2
126,0.41732284,3.502644062,478,30,316,0.6874477,0.8333333,0.3912134,187,25,0.876712322,3.35510993,209,10,21,0.53779906,0.200000003,0.909090936,190,2
127,0.40748033,3.489839554,478,30,315,0.5862971,0.73333335,0.3870293,185,22,0.876712322,3.338355064,209,10,21,0.54306221,0.200000003,0.909090936,190,2
128,0.4015748,3.464834929,478,30,322,0.6436541,0.8,0.37656903,180,24,0.87214613,3.321706295,209,10,22,0.557894766,0.200000003,0.904306233,189,2
129,0.37992126,3.445128679,478,30,331,0.6103208,0.76666665,0.35564855,170,23,0.87214613,3.305218935,209,10,22,0.565071762,0.200000003,0.904306233,189,2
130,0.36023623,3.448194265,478,30,331,0.51757324,0.6,0.3451883,165,18,0.867579937,3.288850307,209,10,23,0.576076567,0.200000003,0.89952153,188,2
131,0.39566928,3.428647518,478,30,313,0.5517434,0.6,0.3828452,183,18,0.867579937,3.27256608,209,10,23,0.581339717,0.200000003,0.89952153,188,2
132,0.37992126,3.39259243,478,30,331,0.623954,0.76666665,0.35564855,170,23,0.867579937,3.256377459,209,10,23,0.589952171,0.200000003,0.89952153,188,2
133,0.37992126,3.398720264,478,30,327,0.58922595,0.7,0.35983264,172,21,0.867579937,3.240347624,209,10,23,0.59138757,0.200000003,0.89952153,188,2
134,0.38385826,3.377290487,478,30,323,0.529986,0.6666667,0.36610878,175,20,0.863013685,3.224454403,209,10,24,0.589473665,0.200000003,0.894736826,187,2
135,0.35629922,3.380125999,478,30,339,0.5428173,0.7,0.33472803,160,21,0.863013685,3.208639622,209,10,24,0.587559819,0.200000003,0.894736826,187,2
136,0.38385826,3.335957527,478,30,331,0.64658296,0.8,0.35774058,171,24,0.853881299,3.192981482,209,10,26,0.58612442,0.200000003,0.88516748,185,2
137,0.38582677,3.31280303,478,30,318,0.5491283,0.6,0.37238494,178,18,0.849315047,3.17747736,209,10,27,0.579904318,0.200000003,0.880382776,184,2
138,0.4055118,3.290052414,478,30,320,0.6542887,0.8,0.38075313,182,24,0.853881299,3.162058115,209,10,28,0.577990413,0.300000012,0.880382776,184,3
139,0.38976377,3.316298246,478,30,326,0.5953975,0.76666665,0.36610878,175,23,0.844748855,3.146757603,209,10,30,0.576076567,0.300000012,0.87081337,182,3
140,0.35433072,3.295764208,478,30,336,0.5347629,0.6333333,0.3368201,161,19,0.849315047,3.131517649,209,10,33,0.576555014,0.5,0.866028726,181,5
141,0.3503937,3.246935844,478,30,350,0.63664573,0.8333333,0.32008368,153,25,0.840182662,3.116312981,209,10,35,0.579904318,0.5,0.85645932,179,5
142,0.38582677,3.259037733,478,30,334,0.64051604,0.8666667,0.35564855,170,26,0.826484025,3.101236582,209,10,38,0.578947365,0.5,0.842105269,176,5
143,0.36811024,3.242111444,478,30,337,0.5804742,0.76666665,0.34309623,164,23,0.812785387,3.086246014,209,10,41,0.575598061,0.5,0.827751219,173,5
144,0.39566928,3.212237835,478,30,325,0.6179916,0.8,0.37029287,177,24,0.812785387,3.071369886,209,10,41,0.575598061,0.5,0.827751219,173,5
145,0.37795275,3.19636488,478,30,336,0.6395049,0.8333333,0.3493724,167,25,0.812785387,3.056604147,209,10,41,0.576076567,0.5,0.827751219,173,5
146,0.33464566,3.206231594,478,30,350,0.5293236,0.7,0.31171548,149,21,0.808219194,3.041958809,209,10,42,0.584210515,0.5,0.822966516,172,5
147,0.36614174,3.173976898,478,30,344,0.6482566,0.8666667,0.33472803,160,26,0.803652942,3.027406216,209,10,43,0.589952171,0.5,0.818181813,171,5
